year,place,title,author,categories,pageCount,averageRating,ratingsCount,publishedDate,description
2019,U.S.,Guts,Raina Telgemeier,Juvenile Nonfiction,227.0,4.0,47.0,2019-09-17,"A true story from Raina Telgemeier, the #1 New York Timesbestselling, multiple Eisner Award-winning author of Smile, Sisters, Drama, and Ghosts! Raina wakes up one night with a terrible upset stomach. Her mom has one, too, so it's probably just a bug. Raina eventually returns to school, where she's"
2018,U.S.,Hannibal,Thomas Harris,Fiction,1461.0,,,2018-11-01,INCLUDES ALL FOUR HANNIBAL LECTER EBOOKS Red Dragon - The thriller that launched Hannibal Lecter's legacy of evil. The Silence of the Lambs - FBI trainee Clarice Starling has an elusive serial killer to hunt. Only one man can help. Hannibal - It has been seven years since Dr Hannibal Lecter has been
2007,U.S.,Hannibal Rising,Thomas Harris,Fiction,386.0,,,2007-05-29,"He is one of the most haunting characters in all of literature. At last the evolution of his evil is revealed. Hannibal Lecter emerges from the nightmare of the Eastern Front, a boy in the snow, mute, with a chain around his neck. He seems utterly alone, but he has brought his demons with him. Hanni"
2009,U.S.,Heartbeat,Danielle Steel,Fiction,434.0,,,2009-12-01,"Bill Thigpen had his finger on the heartbeat of America as writer and producer of a popular TV drama. He was so busy watching his career soar that he never noticed his marriage collapse - until it was too late. Now, nine years later, he believed his life to be in perfect balance. Adrian Townsend tho"
2010,U.S.,Hearts in Atlantis,Stephen King,Fiction,627.0,,,2010-03-22,"The classic collection of five deeply resonant, interconnected stories from No. 1 Sunday Times bestselling author Stephen King, now with a new cover look. 'Although it's difficult to believe, the sixties are not fictional; they actually happened' (Author's Afterword) Stephen King, whose first novel,"
2012,U.S.,Heaven and Hell,John Jakes,Fiction,1046.0,,,2012-07-10,DIVThe searing conclusion to the North and South Trilogy brings the battle between the Mains and Hazards—and Confederate and Union armies—to a brilliantly satisfying end /divDIV The last days of the Civil War bring no peace for the Main and Hazard families. As the Mains’ South smolders in the ruins 
2012,England,Hollywood Husbands,Jackie Collins,Fiction,654.0,,,2012-01-31,"Featuring a new introduction from Tasmina Perry talking about what Jackie and her books mean to her! ‘Underneath all the glitz and bluster, the sex and the scandal, her tales are moral’ TASMINA PERRY 'Jackie Collins’s daring, unapologetic stroke of the pen, combined with her glorious wit, has single"
1987,England,Hollywood Wives,Jackie Collins,Fiction,564.0,5.0,1.0,1987-08,"They lunch at Ma Maison and the Bistro on salads and hot gossip. They cruise Rodeo Drive in their Mercedes and Rolls, turning shopping at Giorgio and Gucci into an art form. They pursue the body beautiful at the Workout and Body Asylum. Dressed by St. Laurent and Galanos, they dine at the latest res"
2008,U.S.,Hornet's Nest,Patricia Cornwell,Fiction,555.0,,,2008-09-04,"Hornet's Nest is the first book in the Andy Brazil series, from bestselling author Patricia Cornwell. Deputy Chief Virginia West likes and respects her boss, Hammer, but with an increasing number of visiting businessmen being murdered in her city by a maniac with a penchant for painting his victims "
1977,U.S.,How to Save Your Own Life,Erica Jong,,266.0,,,1977,
2013,Canada,Humboldt's Gift,Saul Bellow,Fiction,492.0,,,2013-04-04,"'I think it A Work of genius, I think it The Work of a Genius' John Cheever For many years, the great poet Von Humboldt Fleisher and Charlie Citrine, a young man inflamed with a love for literature, were the best of friends. At the time of his death, however, Humboldt is a failure, and Charlie's lif"
1973,,I Heard the Owl Call My Name,Margaret Craven,Fiction,160.0,2.5,3.0,1973,"With only two years to live, a young missionary is sent to an Indian village in British Columbia where he learns to face death without fear"
2009,U.S.,"I, Alex Cross",James Patterson,African American detectives,0.0,,,2009,"HTML:You can't run Detective Alex Cross is pulled out of a family celebration and given the awful news that a beloved relative has been found brutally murdered. Alex vows to hunt down the killer, and soon learns that she was mixed up in one of Washington's wildest scenes. And she was not this killer"
2011,U.S.,I'll Take Manhattan,Judith Krantz,Fiction,466.0,,,2011-07-13,"In the high-stakes world of magazine publishing, Judith Krantz weaves a dazzling tale of love and betrayal, and creates her most joyous character—sensational Maxi, an uninhibited woman who unexpectedly discovers that her talent for life is matched by a hunger to succeed. Gorgeous, flamboyant Maxi Am"
2024,,If Animals Kissed Good Night,Ann Whitford Paul,Juvenile Fiction,19.0,,,2024-11-19,"A must-have for any nursery! If Animals Kissed Good Night is a beloved, bestselling picture book that imagines the bedtime rituals of cuddly creatures all across the animal kingdom – making it the perfect read aloud to snuggle up with at the end of each day. What if animals did what YOU do? Giraffe "
2010,U.S.,If Tomorrow Comes,Sidney Sheldon,Fiction,348.0,4.5,7.0,2010-06-22,"Lovely, idealistic Tracy Whitney is framed into a fifteen year sentence in an escape-proof penitentiary. With dazzling ingenuity she fights back to destroy the untouchable crime lords who put her there. With her intelligence and beauty as her only weapons, Tracy embarks on a series of extraordinary "
2012,. U.S.,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,"Body, Mind & Spirit",145.0,5.0,5.0,2012-08-01,"In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders...until he meets Donald"
2016,U.S.,Inferno,Dan Brown,Fiction,11.0,,,2016-09-30,"Seek and ye shall find.' With these words echoing in his head, eminent Harvard symbologist Robert Langdon awakes in a hospital bed with no recollection of where he is or how he got there. Nor can he explain the origin of the macabre object that is found hidden in his belongings. A threat to his life"
2016,U.S.,Insomnia,Stephen King,Fiction,800.0,,,2016-01-01,"A #1 national bestseller—“A yarn so packed with suspense, romance, literary reference, fascinating miscellaneous knowledge, and heart that only Stephen King could have written it. Marvelous—that is, full of marvels” (Booklist). Since his wife died, Ralph Roberts has been having trouble sleeping. Eac"
2013,U.S.,Insurgent,Veronica Roth,Fiction,407.0,4.0,6.0,2013-11-07,"The thrillingly dark sequel to New York Times bestseller, DIVERGENT – a major motion picture series."
2023,U.S.,Iron Flame,Rebecca Yarros,Fiction,0.0,,,2023-11-07,
2009,U.S.,Irresistible Forces,Danielle Steel,Fiction,500.0,,,2009-12-01,"Sometimes, your happily ever after can surprise you . . . Steve and Meredith Whitman are happily married. Despite each having hugely successful careers, they have always found the time to prioritise their happiness together. And when Meredith is offered an extraordinary job opportunity in San Franci"
2014,U.S.,Islands in the Stream,Ernest Hemingway,Fiction,496.0,,,2014-05-22,"First published in 1970, nine years after Hemingway's death, this is the story of an artist and adventurer—a man much like Hemingway himself. Beginning in the 1930s, Islands in the Stream follows the fortunes of Thomas Hudson, from his experiences as a painter on the Gulf Stream island of Bimini thr"
2016,U.S.,It,Stephen King,Fiction,1488.0,4.0,15.0,2016-11-29,"It began--and ended--in 1958 when seven desperate children searched in the drains beneath Derry for an evil creature, but in 1985, Mike Hanlon, once one of those children, makes six phone calls and disinters an unremembered promise that sets off the ultimate terror."
2024,U.S.,It Ends with Us,Colleen Hoover,Fiction,384.0,,,2024-07-23,"Lily hasn't always had it easy, but that's never stopped her from working hard for the life she wants. She's come a long way from the small town in Maine where she grew up--she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurge"
2022,U.S.,It Starts with Us,Colleen Hoover,Fiction,336.0,5.0,1.0,2022-10-18,"PREVIOUS BOOK IN SERIES: IT ENDS WITH US, ISBN 9781501110368. Before 'It Ends with Us', it started with Atlas. Colleen Hoover tells fan favourite Atlass side of the story and shares what comes next in this long-anticipated sequel to the glorious and touching (USA TODAY) 'It Ends With Us'."
2011,U.S.,Jailbird,Kurt Vonnegut,Fiction,290.0,,,2011-12-01,"J'ailbird has the crackle and snap of Vonnegut's early work - his best since Cat's Cradle. Using the laid-back, ironic voice that has become his stademark, Vonnegut combines fiction and fact to construct an ingenious, wry morality play' - Newsweek Vonnegut's riotous urban fairytale about the various"
2012,U.S.,Jaws,Peter Benchley,Fiction,369.0,5.0,5.0,2012-07-31,"NEW YORK TIMES BESTSELLER • The shark-versus-man classic that inspired the blockbuster Steven Spielberg movie—now in a fiftieth anniversary edition with an exclusive foreword from the author’s wife, renowned ocean conservation advocate Wendy Benchley “A tightly written, tautly paced study of terror."
2009,U.S.,Jewels,Danielle Steel,Fiction,505.0,5.0,1.0,2009-12-01,"On the eve of Sarah Whitfield's 75th birthday, she stands at the window of her chateau in France, waiting for her family to join her. Her memories take her back to the 1930s in New York, to her early marriage and subsequent shameful divorce. She is persuaded by her parents to join them on a trip abr"
2014,. U.S.,Jonathan Livingston Seagull,Richard Bach,Fiction,144.0,4.0,1.0,2014-10-21,"More concerned with the dynamics of his flight than with gathering food, Jonathan is scorned by the other seagulls."
2000,U.S.,Journey,Danielle Steel,Fiction,346.0,,,2000,"Successful TV anchorwoman Madeleine hides the truth about her emotionally abusive marriage until she joins an anti-violence group and falls in love with Bill, a diplomat who encourages her to become empowered. 1,200,000 first printing."
2003,U.S.,Jubal Sackett,Louis L'Amour,Fiction,341.0,,,2003-09-30,"In Jubal Sackett, the second generation of Louis L’Amour’s great American family pursues a destiny in the wilderness of a sprawling new land. Jubal Sackett’s urge to explore drove him westward, and when a Natchez priest asks him to undertake a nearly impossible quest, Sackett ventures into the endle"
2000,U.S.,Kaleidoscope,Danielle Steel,Fiction,466.0,4.0,1.0,2000-10,"When a beautiful young Frenchwoman and a brilliant American actor meet in wartime Paris, their love begins like a fairy tale but ends in tragedy. Suddenly orphaned, their three children are cruelly separated. Megan, the baby, adopted by a family of comfortable means, becomes a doctor in the rural Ap"
2011,U.S.,Kill Alex Cross,James Patterson,Fiction,386.0,3.0,9.0,2011-09-15,"NOW THE INSPIRATION FOR THE ORIGINAL SERIES 'CROSS' ON PRIME VIDEO _____________________________________ 'No one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it.' LEE CHILD 'Alex Cross is a legend.' HARLAN COBEN __________"
2014,,Killing Patton,Bill O'Reilly,History,366.0,5.0,2.0,2014-09-23,"Readers around the world have thrilled to Killing Lincoln, Killing Kennedy, and Killing Jesus--riveting works of nonfiction that journey into the heart of the most famous murders in history. Now from Bill O'Reilly, iconic anchor of The O'Reilly Factor, comes the most epic book of all in this multimi"
1990,England,Lady Boss,Jackie Collins,,513.0,,,1990,
1990,U.S.,Lake Wobegon Days,Garrison Keillor,Fiction,353.0,,,1990-04-01,"“Lake Wobegon Days is about the way our beliefs, desires and fears tail off into abstractions--and get renewed from time to time. . . this book, unfolding Mr. Keillor's full design, is a genuine work of American history.” —The New York Times “A comic anatomy of what is small and ordinary and therefo"
2010,U.S.,Lasher,Anne Rice,Fiction,642.0,,,2010-11-17,"NEW YORK TIMES BESTSELLER • From the beloved author of the Vampire Chronicles, the second installation of her spellbinding Mayfair Chronicles—the inspiration for the hit television series! “[Anne] Rice’s descriptive writing is so opulent it almost begs to be read by candlelight.”—The Washington Post"
2019,U.S.,Last of the Breed,Louis L'Amour,Fiction,498.0,5.0,1.0,2019-07-30,"“For sheer adventure L’Amour is in top form.”—Kirkus Reviews Here is the kind of authentically detailed epic novel that has become Louis L’Amour’s hallmark. It is the compelling story of U.S. Air Force Major Joe Mack, a man born out of time. When his experimental aircraft is forced down in Russia an"
2020,U.S.,Lean Mean Thirteen,Janet Evanovich,Fiction,704.0,,,2020-09-29,
1990,U.S.,Leaving Home,Garrison Keillor,Fiction,289.0,,,1990-04-01,"In the first collection of Lake Wobegon monologues, Keillor tells readers more about some of the people from Lake Wobegon Days and introduces some new faces."
2023,U.S.,Lessons in Chemistry,Bonnie Garmus,Sex role,0.0,,,2023,"Elizabeth Zott is a chemist, not the typical female. The first to point out that there is no such thing is Elizabeth Zott, in fact. But since her Hastings Research Institute staff is entirely male and it's the early 1960s, their perspective on equality is somewhat unscientific. With one exception: C"
2008,U.S.,Light from Heaven,Jan Karon,Fiction,689.0,,,2008-04-25,Father Tim takes on a new challenge in this inspirational installment in the beloved Mitford series by the #1 New York Times bestselling author of Bathed in Prayer. Father Tim Kavanagh has been asked to “come up higher” more than once. But he’s never been asked to do the impossible—until now. The re
2009,U.S.,Lightning,Danielle Steel,Fiction,418.0,,,2009-12-01,"In Lightning, bestselling novelist Danielle Steel tells the story of a woman whose life is changed by one swift, unexpected stroke of fate. As a partner in one of New York's most prestigious law firms, Alexandra Parker barely manages to juggle husband, career, and the three-year-old child she gave b"
1995,Mexico,Like Water for Chocolate,Laura Esquivel,"Cooking, Mexican",0.0,5.0,1.0,1995,"Despite the fact that she has fallen in love with a young man, Tita, the youngest of three daughters born to a tyrannical rancher, must obey tradition and remain single and at home to care for her mother."
2011,U.S.,Lincoln,Gore Vidal,Fiction,673.0,,,2011-04-13,"Lincoln is the cornerstone of Gore Vidal's fictional American chronicle, which includes Burr, 1876, Washington, D.C., Empire, and Hollywood. It opens early on a frozen winter morning in 1861, when President-elect Abraham Lincoln slips into Washington, flanked by two bodyguards. The future president"
2021,U.S.,Lisey's Story,Stephen King,Fiction,544.0,,,2021-06,"Every marriage has two hearts, one light and one dark, and Lisey Landon must confront both. King's most personal and powerful book to date is about the wellsprings of creativity, the temptations of madness, and the secret language of love."
2017,U.S.,Little Fires Everywhere,Celeste Ng,Fiction,354.0,,,2017-09-12,"The #1 New York Times bestseller • Named a Best Book of the Year by People, The Washington Post, Bustle, Esquire, Southern Living, The Daily Beast, GQ, Entertainment Weekly, NPR, Amazon, Barnes & Noble, iBooks, Audible, Goodreads, Library Reads, Book of the Month, Paste, Kirkus Reviews, St. Louis Po"
2011,,Locked On,Tom Clancy and Mark Greaney,Fiction,450.0,3.0,922.0,2011-12-13,"Jack Ryan Jr.—along with the covert warriors of the Campus—continues to uphold his legendary father’s legacy of courage and honor in this thriller from #1 New York Times bestselling author Tom Clancy. Privately training with special forces, he’s honing his combat skills to continue his work within t"
2011,U.S.,London Bridges,James Patterson,Fiction,247.0,,,2011-04-28,Alex Cross is on vacation when he gets the call. A town in Nevada has been annihilated and the Russian super-criminal known as the Wolf is claiming responsibility. Major cities around the globe are threatened with total destruction and the thought of such dark genius at work makes Alex's blood run c
1997,US,Looking for Mr. Goodbar,Judith Rossner,Fiction,404.0,,,1997-10,"By day she is a caring school teacher, with her favourites. By night, she is a drug abusing, heavy drinking, hooker, chasing rough sex in bars and picking up whatever is available."
2012,U.S.,Love and War,John Jakes,Fiction,1583.0,,,2012-07-10,"DIVThe Main and Hazard families clash on and off the Civil War’s battlefields as they grapple with the violent realities of a divided nation /divDIV America’s master storyteller continues his reign with Love and War, a story steeped in passion and betrayal. With the Confederate and Union armies furi"
2011,U.S.,Love Story,Erich Segal,Fiction,229.0,4.0,18.0,2011-11-01,"“Funny, touching and infused with wonder, as all love stories should be.”—San Francisco Examiner The basis for the 1970 film starring Ryan O'Neal and Ali McGraw, Erich Segal's Love Story is an enduring classic that has captured hearts for almost 50 years. It is the story of Oliver Barrett IV, a rich"
2000,U.S.,"Loves Music, Loves to Dance",Mary Higgins Clark,Fiction,304.0,5.0,2.0,2000-05-25,"New York’s trendy magazines are a source of peril when a killer enacts a bizarre dance of death, using personal ads to lure his victims in bestselling author Mary Higgins Clark’s Loves Music, Loves to Dance. After college, best friends Erin Kelley and Darcy Scott move to the city to pursue exciting "
2022,England,Lucky,Jackie Collins,Fiction,720.0,,,2022-12-27,"THE FABULOUS HEROINE OF CHANCES RETURNS. SHE'S A HOT-BLOODED BEAUTY IN LOVE WITH POWER, HUNGRY F"
2009,U.S.,Malice,Danielle Steel,Fiction,452.0,,,2009-12-01,"At seventeen, on the night of her mother's funeral, Grace Adams is attacked. A young woman with secrets too horrible to tell, with hurts so deep they may never heal, Grace will not tell the truth about the attack. She is beautiful enough for men to want her, but after a lifetime of being a victim, n"
2011,U.S.,"Mary, Mary",James Patterson,Fiction,262.0,4.0,1.0,2011-04-28,"Somebody is intent on murdering Hollywood's A-list. A well-known actress has been shot outside her Beverly Hills home. Shortly afterwards, the Los Angeles Times receives an email describing the murder in vivid detail. It is signed Mary Smith. More killings and emails follow - the victims are all maj"
1983,England,Masquerade,Kit Williams,Literary recreations,0.0,1.0,1.0,1983,Presents the original text and illustrations with an explanation of the clues and how they led to the discovery of the treasure.
1982,U.S.,Master of the Game,Sidney Sheldon,,420.0,,,1982,
2016,England,Me Before You (movie tie-in),Jojo Moyes,Fiction,450.0,5.0,2.0,2016-04-26,"USA Today's top 100 books to read while stuck at home social distancing From the #1 New York Times bestselling author of The Giver of Stars, discover the love story that captured over 20 million hearts in Me Before You, After You, and Still Me. They had nothing in common until love gave them everyth"
2018,England,Me Before You (trade paperback),Jojo Moyes,Fiction,0.0,,,2018-10-23,"Contains three novels by Jojo Moyes, including ""Me before you"" in which Louisa Clark, an ordinary girl living an ordinary life, takes a job working for Will Traynor who is wheelchair bound after a motorcycle accident; and ""After You"" in which Louisa Clark, struggling without Will, joins a support gr"
,U.S.,Memories of Another Day,Harold Robbins,,506.0,,,,
2010,U.S.,Memories of Midnight,Sidney Sheldon,Fiction,301.0,,,2010-05-25,"Set in London and Greece, this is the sequel to Sidney Sheldon's The Other Side of Midnight."
2012,Scotland,Message from Malaga,Helen MacInnes,Fiction,502.0,,,2012-12-28,"Under the Mediterranean sun, a drama begins in a cafe courtyard in M álaga. For Ian Ferrier, an employee of the United States Space Agency on a vacation visit to his old friend Jeff Reid, it means the startling discovery that Reid is not just a wine exporter, but also a CIA operative, charged with s"
2009,U.S.,Message from Nam,Danielle Steel,Fiction,484.0,,,2009-12-01,"How do you tell someone what it's like to kill a man hand to hand, run a bayonet through his guts, or shoot a sniper in the face who turns out to be a woman? How do you explain the nine-year-old boy who throws a grenade and kills your best friend? How do you tell them what it's like? Or about the su"
1992,U.S.,Mexico,James A. Michener,Fiction,648.0,,,1992,Novel bringing to life 1500 turbulent years of Mexican history. By the author of C̀aribbean' and Àlaska'.
2011,U.S.,Micro,Michael Crichton,Fiction,338.0,3.0,1.0,2011-11-22,"An instant classic in the vein of Jurassic Park, this boundary-pushing novel has all the hallmarks of Michael Crichton’s greatest adventures with its combination of pulse-pounding thrills, cutting-edge technology, and extraordinary research"
2020,U.S.,Midnight Sun,Stephenie Meyer,Juvenile Fiction,668.0,4.0,5.0,2020-08-04,"It's here! Number one bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with this highly-anticipated companion; the iconic love story of Bella and Edward told from the vampire's point of view. When Edward Cullen and Bella Swan met in Twilight, an iconic love story"
2018,India,Milk and Honey,Rupi Kaur,"Body, Mind & Spirit",226.0,5.0,1.0,2018-08-28,"A hardcover gift edition of Milk and Honey, the #1 New York Times bestselling poetry and prose collection by Rupi Kaur, which has sold over 3 million copies worldwide. Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and feminini"
1998,U.S.,Mirror Image,Danielle Steel,Fathers and daughters,760.0,,,1998,"Victoria Henderson, on the verge of scandal, is forced by her father into a loveless marriage with widower Charles Dawson, but even wedlock cannot tame Victoria's spirit, and she and her identical twin sister Olivia decide to pull a switch that has both terrible and wonderful repercussions."
2016,U.S.,Misery,Stephen King,Fiction,432.0,5.0,2.0,2016-01-01,"The #1 New York Times bestselling tale of terror from master storyteller Stephen King about a famous novelist held hostage in a remote location by his “number one fan”. Bestselling novelist Paul Sheldon thinks he’s finally free of Misery Chastain. In a controversial career move, he’s just killed off"
1997,U.S.,Mistral's Daughter,Judith Krantz,,564.0,,,1997-06,"They were three generations of magnificent red-haired beauties born to scandal, bred to success, bound to a single extraordinary man--Julien Mistral, the painter, the genius, the lover whose passions had seared them all. Maggy--Flamboyant mistress of Mistral's youth, the toast of Paris in the '20s."
2024,U.S.,Mitla Pass,Leon Uris,Fiction,494.0,,,2024-05-16,"Gideon Zadok arrives in Israel with every intention to research a new book, mend a broken marriage and improve his dysfunctional family. But as political tensions escalate and his family is evacuated, Zadok asks to follow Israeli paratroopers to secure Mitla Pass and finds himself in the midst of on"
2009,U.S.,Mixed Blessings,Danielle Steel,Fiction,450.0,,,2009-12-01,"After the wedding of Diana Goode and Andrew Douglas, Diana teases that they will make a baby on their honeymoon. But long afterward, she is still not pregnant. As Diana and Andrew wait out each month only to be bitterly disappointed, they are forced to question just how much they are willing to go t"
2010,U.S.,Mockingjay,Suzanne Collins,Young Adult Fiction,402.0,4.0,2594.0,2010-08-24,The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins. The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins.The Capitol is angry. The Capitol wants revenge. Who do they think should pay for
2009,U.S.,My Name is Asher Lev,Chaim Potok,Fiction,385.0,4.5,4.0,2009-07-01,"NATIONAL BESTSELLER • In this modern classic from the National Book Award–nominated author of The Chosen, a young religious artist is compulsively driven to render the world he sees and feels, even when it leads him to blasphemy. “A novel of finely articulated tragic power .... Little short of a wor"
2016,U.S.,Needful Things,Stephen King,Fiction,960.0,5.0,3.0,2016-05-03,"A wonderful new store has opened in Castle Rock, Maine. It's a place where you can get anything your heart desires - sexual pleasure, wealth, power ... but for a nerve-shattering price."
2011,U.S.,Next,Michael Crichton,Fiction,601.0,5.0,1.0,2011-12-01,"The world of genetics is out of control! In this stunning new thriller bestseller Michael Crichton illustrates what happens NEXT... Is a loved one missing body parts?Are blondes becoming extinct?Has a human already cross-bred with a monkey?We live in a GENEtIC WORLD. Fast, frightening - and potentia"
2011,Wales,Night Over Water,Ken Follett,Fiction,532.0,,,2011-06-04,"At the outbreak of the Second World War, a mismatched group of passengers flee across the Atlantic to escape Britain and – thousands of feet in the air – find themselves facing grave danger. Night Over Water is a masterful historical thriller from Ken Follett. The Eve of War Britain has just declare"
2017,U.S.,Nightmares & Dreamscapes,Stephen King,Comics & Graphic Novels,64.0,,,2017-10-11,"“Little Nightmares is frightening, intensely unsettling and horribly beautiful.” – Videogamer Enter the world of Little Nightmares, where a young girl in a bright raincoat must face her deepest fears… Huddled around a campfire in the mysterious depths of the Maw, the young girl known as Six listens "
2009,U.S.,No Greater Love,Danielle Steel,Fiction,374.0,,,2009-12-01,"April, 1912. Edwina Winfield is returning to New York from her engagement trip to England with her fiancé, Charles, her parents and her five siblings. Deeply in love, she and Charles are looking forward to beginning their new life together. They are travelling on the maiden voyage of the greatest sh"
2013,,No Time for Tears,Cynthia Freeman,Fiction,624.0,,,2013-08-27,This “ambitious” New York Times bestseller tells the multigenerational saga of a Russian-Jewish family who emigrates to America and eventually Israel (Los Angeles Times Book Review). Chavala Rabinsky is sixteen when her mother dies and she becomes the caretaker of her five siblings. Beautiful and wi
1986,Australia,Noble House,James Clavell,Businesspeople,798.0,,,1986,
2012,U.S.,North and South,John Jakes,Fiction,1143.0,5.0,1.0,2012-07-10,"DIVThe first volume of John Jakes’s acclaimed and sweeping saga about a friendship threatened by the divisions of the Civil War /divDIV In the years leading up to the Civil War, one enduring friendship embodies the tensions of a nation. Orry Main from South Carolina and George Hazard from Pennsylvan"
2016,U.S.,November 9,Colleen Hoover,Fiction,384.0,4.5,2.0,2016-10-04,"When Fallon and aspiring novelist Ben meet and fall in love the day before Fallon's cross-country move, they vow to meet on the same date every year, until Fallon suspects Ben is fabricating their relationship to create the perfect plot twist."
2013,U.S.,"Oh, the Places You'll Go!",Dr. Seuss,Juvenile Fiction,56.0,,,2013-09-24,"Dr. Seuss’s wonderfully wise Oh, the Places You’ll Go! celebrates all of our special milestones—from graduations to birthdays and beyond! This Read & Listen edition features optional audio narration for compatible ebook readers. “[A] book that has proved to be popular for graduates of all ages since"
1977,U.S.,Oliver's Story,Erich Segal,,220.0,,,1977,
2015,U.S.,Once Is Not Enough,Jacqueline Susann,Fiction,636.0,,,2015-11-02,"The spectacular bestseller from the author of VALLEY OF THE DOLLS. Once upon a time, the entertainment industry was a world that never slept. Magazine editors, models, pop stars and all the rest visited “vitamin doctors” to get the shots that would allow them to stay up all night and then work all d"
1989,. U.S.,One,Richard Bach,Fiction,404.0,3.5,8.0,1989-10-02,"I gave my life to become the person I am right now. Was it worth it? Would we change if we knew what waits beyond space and time? “With One, the ninth novel from the ever spiritual and imaginative author of Jonathan Livingston Seagull, [Richard] Bach continues his quest for a deeper understanding of"
2017,U.S.,Origin,Dan Brown,Fiction,521.0,,,2017-10-03,"THE #1 WORLDWIDE BESTSELLER FROM THE ICONIC AUTHOR OF THE DA VINCI CODE, THE LOST SYMBOL, AND INFERNO “Fans of The Da Vinci Code rejoice! Professor Robert Langdon is again solving the mysteries of the universe.” —People “A life-or-death adventure.” —Entertainment Weekly Robert Langdon, Harvard profe"
,England,Overload,Arthur Hailey,,428.0,,,,
2010,U.S.,Paradise,Toni Morrison,Fiction,379.0,,,2010-05-25,"Four young women are brutally attacked near an all-black town in rural Oklahoma. The inevitability of this attack, and the attempts to avert it, lie at the heart of Paradise. Spanning the birth of the Civil Rights movement, Vietnam, the counter-culture of the late 1970s, deftly manipulating past, pr"
1988,U.S.,Patriot Games,Tom Clancy,Fiction,801.0,4.5,10.0,1988-07-01,Don't Miss the Original Series Tom Clancy's Jack Ryan Starring John Krasinski! Tom Clancy reveals Jack Ryan’s origins in this electrifying #1 New York Times bestselling thriller that pits the former Marine turned family man against a vicious group of international terrorists. As an American in Londo
2017,U.S.,Pet Sematary,Stephen King,Fiction,560.0,5.0,1.0,2017-01-31,A horror story of a children's pet cemetery and another graveyard behind it from which the dead return.
2009,U.S.,Pirate Latitudes,Michael Crichton,Fiction,12.0,5.0,2.0,2009-11-16,"The new thriller from Michael Crichton, one of the most famous authors in the world, the most exciting, anticipated publication of Christmas 2009."
2007,U.S.,Playing For Pizza,John Grisham,Fiction,420.0,,,2007,A former American football star joins the Parma Panthers to play football in a small town in Italy.
1993,U.S.,Pleading Guilty,Scott Turow,Fiction,400.0,3.0,1.0,1993,"A former cop, now an attorney, falls into danger when he tries to find a fellow attorney who's absconded with millions from a settlement fund."
2007,U.S.,Plum Lovin',Janet Evanovich,Fiction,176.0,,,2007-01-09,"From #1 blockbuster bestselling author Janet Evanovich comes a Stephanie Plum novel that takes adventure, action, suspense (and maybe even true love?) to new heights. WATCH YOUR BACK . . . LOOK BOTH WAYS . . . BECAUSE LOVE IS IN THE AIR . . . AND THAT MEANS BIG TROUBLE! Mysterious men have a way of"
2010,U.S.,Plum Lucky,Janet Evanovich,Fiction,260.0,4.5,5.0,2010-04-01,"Looking to get lucky? Stephanie Plum is back between-the-numbers and she's looking to get lucky in an Atlantic City hotel room, in a Winnebago, and with a brown-eyed stud who has stolen her heart. Stephanie Plum has a way of attracting danger, lunatics, oddballs, bad luck . . . and mystery men. And "
1998,U.S.,Point of Origin,Patricia Cornwell,Fiction,420.0,3.0,2.0,1998,Virginia medical examiner Kay Scarpetta finds herself up against a killer who hids his crimes with fire
1983,U.S.,Poland,James A. Michener,,676.0,,,1983,
2011,,Politically Correct Bedtime Stories,James Finn Garner,Fiction,83.0,,,2011-09-01,"'Essential reading for adults of all ages . . . the wisest, funniest, most thoughtful thing yet written on the subject of PC' Observer In this bestselling classic, James Finn Garner has rewritten classic stories for more enlightened times; from Snow White's relationship with seven vertically challen"
1995,,Politically Correct Holiday Stories,James Finn Garner,Fiction,116.0,,,1995,
2010,U.S.,Port Mortuary,Patricia Cornwell,Fiction,355.0,,,2010-11-30,"The world's bestselling crime writer Patricia Cornwell presents the extraordinary eighteenth novel in the Kay Scarpetta series, in which Kay Scarpetta is confronted with a case that could ruin her professionally and personally. Kay Scarpetta has been training at the Dover Port Mortuary, mastering th"
2006,U.S.,Predator,Patricia Cornwell,Fiction,361.0,3.0,2.0,2006-09-26,"Dr. Kay Scarpetta, now freelancing with the National Forensic Academy in Florida, takes charge of a case that stretches from steamy Florida to snowbound Boston; one that at first appears as unnerving as any she has ever faced. The teasing psychological clues lead Scarpetta and her team—Pete Marino, "
