year,place,title,author,categories,pageCount,averageRating,ratingsCount,publishedDate,description
2011,U.S.,Dead or Alive,Tom Clancy,Fiction,705.0,4.0,20.0,2011-09-27,Don't Miss the Original Series Tom Clancy's Jack Ryan Starring John Krasinski! Tom Clancy delivers a #1 New York Times bestselling Jack Ryan novel that will remind readers why he is the acknowledged master of international intrigue and nonstop military action. It is The Campus. Secretly created unde
2011,U.S.,Dead Reckoning,Charlaine Harris,Fiction,252.0,3.0,6.0,2011-05-03,"There's a reckoning on the way ... ... and Sookie has a knack for being in trouble's way; not least when she witnesses the firebombing of Merlotte's, the bar where she works. Since Sam Merlotte is known to be two-natured, suspicion immediately falls on the anti-shifters in the area. Sookie suspects "
2007,U.S.,Dear John,Nicholas Sparks,Fiction,352.0,,,2007-11-01,"Is duty enough reason to live a lie? When John meets Savannah, he realises he is ready to make some changes. Always the angry rebel at school, he has enlisted in the Army, not knowing what else to do with his life. Now he's ready to turn over a new leaf for the woman who has captured his heart. What"
1994,U.S.,Debt of Honor,Tom Clancy,Fiction,774.0,5.0,1.0,1994,Jack Ryan is facing his greatest challenge against a peril that may become all too real.
1999,France,Delta of Venus,Anaïs Nin,"Erotic stories, American",225.0,,,1999-10-01,"This is a collection of short stories which explore the ultimate in sexual possibility, from a female angle."
2011,,Desecration,Jerry B. Jenkins and Tim LaHaye,Fiction,443.0,5.0,2.0,2011-03-16,"2002 Christy Award finalist! His Excellency Global Community Potentate Nicolae Carpathia, no longer pretending to be a pacifist, has ordered every Morale Monitor armed as he prepares to travel along the Via Dolorosa and then onward to the temple, where shocking surprises await. The lines are drawn b"
1996,U.S.,Desperation,Stephen King,Fiction,710.0,4.0,7.0,1996,This is knock-out classic horror about the loneliest town off Nevada's Interstate 50-and the scariest.
2021,U.S.,Diary of a Wimpy Kid: Big Shot,Jeff Kinney,Juvenile Fiction,228.0,4.0,5.0,2021-10-26,"In Big Shot, book 16 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and sports just don’t mix. After a disastrous field day competition at school, Greg decides that when it comes to his athletic career, he’s officially retired. But after his mom"
2022,U.S.,Diary of a Wimpy Kid: Diper Överlöde,Jeff Kinney,Juvenile Fiction,228.0,,,2022-10-25,"In Diper Överlöde, book 17 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley is finding out that the road to fame and glory comes with some hard knocks. When he decides to tag along with his brother Rodrick's band, Löded Diper, Greg doesn't realize"
2013,U.S.,Diary of a Wimpy Kid: Hard Luck,Jeff Kinney,Juvenile Fiction,251.0,3.5,11.0,2013-11-06,Everyone's favourite wimpy kid is back for his eighth appearance in Jeff Kinney's world-famous series. Get stuck in to Diary of a Wimpy Kid: Hard Luck to find out what scrapes Greg Heffley has gotten himself into this time! Mom's always saying that friends will come and go but family is forever. Wel
2020,U.S.,Diary of a Wimpy Kid: The Deep End,Jeff Kinney,Juvenile Fiction,228.0,4.5,16.0,2020-10-27,"An instant #1 USA Today, Wall Street Journal, and New York Times bestseller! In The Deep End, book 15 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and his family hit the road for a cross-country camping trip, ​ready for the adventure of a life"
2017,U.S.,Diary of a Wimpy Kid: The Getaway,Jeff Kinney,Juvenile Fiction,228.0,4.5,45.0,2017-11-07,"In The Getaway, book 12 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and his family are getting out of town. With the cold weather and the stress of the approaching holiday season, the Heffleys decide to escape to a tropical island resort for"
2014,U.S.,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,Juvenile Fiction,241.0,4.5,17.0,2014-11-05,"Jeff Kinney has brought Greg Heffley back for the ninth instalment of his bestselling Diary of a Wimpy Kid series. This time, the Heffleys are off on a road trip! The chances of survival are... quite small to be honest. If I had to guess, I'd say 90% of everything we do as a family comes from ideas"
2018,U.S.,Diary of a Wimpy Kid: The Meltdown,Jeff Kinney,Juvenile Fiction,228.0,4.0,41.0,2018-10-30,"An instant #1 USA Today, New York Times, and Wall Street Journal bestseller! When snow shuts down Greg Heffley’s middle school, his neighborhood transforms into a wintry battlefield. Rival groups fight over territory, build massive snow forts, and stage epic snowball fights. And in the crosshairs ar"
2012,U.S.,Diary of a Wimpy Kid: The Third Wheel,Jeff Kinney,Juvenile Fiction,251.0,4.5,4.0,2012-11-14,"Join Greg Heffley in the seventh book in Jeff Kinney's hilarious Diary of a Wimpy Kid series! When you live in a house with four other people, some fool is always gonna come along and ruin things for you. Love is in the air, but what does that mean for Greg Heffley? A Valentine's Day dance at Greg's"
2019,U.S.,Diary of a Wimpy Kid: Wrecking Ball,Jeff Kinney,Juvenile Fiction,246.0,3.0,13.0,2019-11-05,"THE ONE WITH THE HOME IMPROVEMENTS The fourteenth laugh-out-loud, fully-illustrated Diary of a Wimpy Kid book from #1 international bestselling author Jeff Kinney! A global phenomenon with 250 million copies of the series sold worldwide! Big changes are in store for Greg Heffley and his family. They"
2019,U.S.,Diary of an Awesome Friendly Kid,Jeff Kinney,Juvenile Fiction,228.0,3.5,7.0,2019-04-09,"A new Diary of a Wimpy Kid Story that will have you rolling with laughter, from number one bestselling author Jeff Kinney! ------- Hi my name is Rowley Jefferson and this is my book. Now I have a diary just like my friend Greg... Rowley's best friend Greg Heffley has chronicled his middle-school yea"
2016,U.S.,Different Seasons,Stephen King,Fiction,608.0,,,2016-03-29,Contents: Hope springs eternal : Rita Hayworth and Shawshank redemption -- Summer of corruption : Apt pupil -- Fall from innocence : The body -- A winter's tale : The breathing method.
2001,U.S.,Disclosure,Michael Crichton,Fiction,507.0,,,2001-01-19,"From the author of Jurassic Park, Timeline, and Sphere comes an electrifying thriller in which a shocking accusation of sexual harassment triggers a gripping psychological game of cat and mouse and threatens to derail a brilliant career. #1 NEW YORK TIMES BESTSELLER “A fresh and provocative story.”—"
2011,U.S.,Divergent,Veronica Roth,Young Adult Fiction,419.0,4.5,350.0,2011-05-03,"This first book in Veronica Roth's #1 New York Times bestselling Divergent series of books is the novel the inspired the major motion picture starring Shailene Woodley, Theo James, and Kate Winslet. This dystopian series set in a futuristic Chicago has captured the hearts of millions of teen and adu"
2014,U.S.,Doctor Sleep,Stephen King,Fiction,560.0,4.0,2.0,2014-06-10,"The now middle-aged Dan Torrance (the boy protagonist of The Shining) must save a very special twelve-year-old girl from a tribe of murderous paranormals. On highways across America, a tribe of people called The True Knot travel in search of sustenance. They look harmless; mostly old, lots of polyes"
2020,U.S.,Dog Man,Dav Pilkey,Juvenile Fiction,240.0,4.5,15.0,2020-09-01,"The mayor has had enough of Dog Man's shenanigans in the ninth book from worldwide bestselling author and artist Dav Pilkey. Dog Man's really done it this time! He hands over his badge and clears out his desk, but while he may be out of a job, he's not yet out of hope. With his friends at his side, "
2017,U.S.,Dog Man and Cat Kid,Dav Pilkey,Juvenile Fiction,256.0,4.0,7.0,2017-12-26,"Action and mystery abound on the movie set in the fourth Dog Man book from worldwide bestselling author and artist Dav Pilkey. Hot diggity dog! Dog Man is back -- and this time he's not alone. The heroic hound with a real nose for justice now has a furry feline sidekick, and together they have a mys"
